group1,group2,meandiff,lower,upper,reject
Arrive on time,Schedule standing appointments,-0.5773,-0.9203,-0.2343,True
Arrive on time,Seek mentorship,-1.1262,-1.4692,-0.7832,True
Arrive on time,Self-assess interpersonal skills,-0.2965,-0.6395,0.0464,False
Arrive on time,Send agenda,-2.1514,-2.4944,-1.8084,True
Arrive on time,Supervision fidelity,-2.0379,-2.3808,-1.6949,True
Arrive on time,Supervision schedule,-1.4795,-1.8225,-1.1365,True
Arrive on time,Supervision termination clause,0.082,-0.261,0.425,False
Arrive on time,Supervisory study groups,-2.4259,-2.7688,-2.0829,True
Arrive on time,Take baseline,-1.5868,-1.9297,-1.2438,True
Arrive on time,Training and supervision,-0.2798,-0.8435,0.2839,False
Arrive on time,Written evaluation system,-1.1104,-1.4534,-0.7674,True
Arrive on time,Written supervision contract,0.1136,-0.2294,0.4565,False
Attend conferences,BST case presentation,-0.5552,-0.8982,-0.2122,True
Attend conferences,Behavior skills training,0.0694,-0.2736,0.4124,False
Attend conferences,Confirm required skill set,-0.3123,-0.6553,0.0307,False
Attend conferences,Continue relationship,-0.1609,-0.5039,0.1821,False
Attend conferences,Create group activities,-1.7729,-2.1158,-1.4299,True
Attend conferences,Credentialing requirements,0.206,-0.3577,0.7697,False
Attend conferences,Detect barriers to supervision,0.1577,-0.1852,0.5007,False
Attend conferences,Discourage distractions,0.3091,-0.0338,0.6521,False
Attend conferences,Discuss how to give feedback,0.2839,-0.0591,0.6269,False
Attend conferences,Document feedback,-0.3849,-0.7278,-0.0419,True
Attend conferences,Evaluate client performance,-0.9905,-1.3335,-0.6476,True
Attend conferences,Evaluate supervisee performance,-0.858,-1.201,-0.5151,True
Attend conferences,Group supervision,-1.7476,-2.0906,-1.4047,True
Attend conferences,Immediate feedback,0.041,-0.302,0.384,False
Attend conferences,Include ethics,0.4385,0.0955,0.7815,True
Attend conferences,Instructions and demonstration,0.2997,-0.0433,0.6427,False
Attend conferences,Literature for new competency,-0.2082,-0.5512,0.1348,False
Attend conferences,Maintain positive rapport,0.6309,0.2879,0.9739,True
Attend conferences,Meeting notes,-0.7003,-1.0433,-0.3573,True
Attend conferences,Observe body language,0.164,-0.1789,0.507,False
Attend conferences,Participate in peer review,-0.9275,-1.3489,-0.5061,True
Attend conferences,Peer evaluate,-2.0095,-2.3524,-1.6665,True
Attend conferences,Performance expectations,0.3249,-0.018,0.6679,False
Attend conferences,Positive and corrective feedback,0.4921,0.1491,0.8351,True
Attend conferences,Practice skill set,-0.164,-0.507,0.1789,False
Attend conferences,Professional groups,-1.3438,-1.6868,-1.0009,True
Attend conferences,Return communications within 48,0.5804,0.2375,0.9234,True
Attend conferences,Review literature,0.0505,-0.2925,0.3934,False
Attend conferences,Review supervision contract,0.4637,0.1208,0.8067,True
Attend conferences,Schedule contacts,0.123,-0.2199,0.466,False
Attend conferences,Schedule direct observations,0.3943,0.0514,0.7373,True
Attend conferences,Schedule standing appointments,-0.0221,-0.3651,0.3209,False
Attend conferences,Seek mentorship,-0.571,-0.9139,-0.228,True
Attend conferences,Self-assess interpersonal skills,0.2587,-0.0843,0.6016,False
Attend conferences,Send agenda,-1.5962,-1.9392,-1.2532,True
Attend conferences,Supervision fidelity,-1.4826,-1.8256,-1.1397,True
Attend conferences,Supervision schedule,-0.9243,-1.2673,-0.5813,True
Attend conferences,Supervision termination clause,0.6372,0.2943,0.9802,True
Attend conferences,Supervisory study groups,-1.8707,-2.2136,-1.5277,True
Attend conferences,Take baseline,-1.0315,-1.3745,-0.6886,True
Attend conferences,Training and supervision,0.2754,-0.2883,0.8391,False
Attend conferences,Written evaluation system,-0.5552,-0.8982,-0.2122,True
Attend conferences,Written supervision contract,0.6688,0.3258,1.0117,True
BST case presentation,Behavior skills training,0.6246,0.2816,0.9676,True
BST case presentation,Confirm required skill set,0.2429,-0.1001,0.5859,False
BST case presentation,Continue relationship,0.3943,0.0514,0.7373,True
BST case presentation,Create group activities,-1.2177,-1.5606,-0.8747,True
BST case presentation,Credentialing requirements,0.7612,0.1975,1.3249,True
BST case presentation,Detect barriers to supervision,0.7129,0.37,1.0559,True
BST case presentation,Discourage distractions,0.8644,0.5214,1.2073,True
BST case presentation,Discuss how to give feedback,0.8391,0.4961,1.1821,True
BST case presentation,Document feedback,0.1703,-0.1726,0.5133,False
BST case presentation,Evaluate client performance,-0.4353,-0.7783,-0.0924,True
BST case presentation,Evaluate supervisee performance,-0.3028,-0.6458,0.0401,False
BST case presentation,Group supervision,-1.1924,-1.5354,-0.8495,True
BST case presentation,Immediate feedback,0.5962,0.2532,0.9392,True
BST case presentation,Include ethics,0.9937,0.6507,1.3367,True
BST case presentation,Instructions and demonstration,0.8549,0.5119,1.1979,True
BST case presentation,Literature for new competency,0.347,0.004,0.69,True
BST case presentation,Maintain positive rapport,1.1861,0.8431,1.5291,True
BST case presentation,Meeting notes,-0.1451,-0.4881,0.1979,False
BST case presentation,Observe body language,0.7192,0.3763,1.0622,True
BST case presentation,Participate in peer review,-0.3723,-0.7937,0.0491,False
BST case presentation,Peer evaluate,-1.4543,-1.7972,-1.1113,True
BST case presentation,Performance expectations,0.8801,0.5372,1.2231,True
BST case presentation,Positive and corrective feedback,1.0473,0.7043,1.3903,True
BST case presentation,Practice skill set,0.3912,0.0482,0.7341,True
BST case presentation,Professional groups,-0.7886,-1.1316,-0.4457,True
BST case presentation,Return communications within 48,1.1356,0.7927,1.4786,True
BST case presentation,Review literature,0.6057,0.2627,0.9486,True
BST case presentation,Review supervision contract,1.0189,0.676,1.3619,True
BST case presentation,Schedule contacts,0.6782,0.3353,1.0212,True
BST case presentation,Schedule direct observations,0.9495,0.6066,1.2925,True
BST case presentation,Schedule standing appointments,0.5331,0.1902,0.8761,True
BST case presentation,Seek mentorship,-0.0158,-0.3587,0.3272,False
BST case presentation,Self-assess interpersonal skills,0.8139,0.4709,1.1569,True
BST case presentation,Send agenda,-1.041,-1.384,-0.698,True
BST case presentation,Supervision fidelity,-0.9274,-1.2704,-0.5845,True
BST case presentation,Supervision schedule,-0.3691,-0.7121,-0.0261,True
BST case presentation,Supervision termination clause,1.1924,0.8495,1.5354,True
BST case presentation,Supervisory study groups,-1.3155,-1.6584,-0.9725,True
BST case presentation,Take baseline,-0.4763,-0.8193,-0.1334,True
BST case presentation,Training and supervision,0.8306,0.2669,1.3943,True
BST case presentation,Written evaluation system,0.0,-0.343,0.343,False
BST case presentation,Written supervision contract,1.224,0.881,1.5669,True
Behavior skills training,Confirm required skill set,-0.3817,-0.7247,-0.0387,True
Behavior skills training,Continue relationship,-0.2303,-0.5733,0.1127,False
Behavior skills training,Create group activities,-1.8423,-2.1852,-1.4993,True
Behavior skills training,Credentialing requirements,0.1366,-0.4271,0.7003,False
Behavior skills training,Detect barriers to supervision,0.0883,-0.2546,0.4313,False
Behavior skills training,Discourage distractions,0.2397,-0.1032,0.5827,False
Behavior skills training,Discuss how to give feedback,0.2145,-0.1285,0.5575,False
Behavior skills training,Document feedback,-0.4543,-0.7972,-0.1113,True
Behavior skills training,Evaluate client performance,-1.0599,-1.4029,-0.717,True
Behavior skills training,Evaluate supervisee performance,-0.9274,-1.2704,-0.5845,True
Behavior skills training,Group supervision,-1.817,-2.16,-1.4741,True
Behavior skills training,Immediate feedback,-0.0284,-0.3714,0.3146,False
Behavior skills training,Include ethics,0.3691,0.0261,0.7121,True
Behavior skills training,Instructions and demonstration,0.2303,-0.1127,0.5733,False
Behavior skills training,Literature for new competency,-0.2776,-0.6206,0.0654,False
Behavior skills training,Maintain positive rapport,0.5615,0.2185,0.9045,True
Behavior skills training,Meeting notes,-0.7697,-1.1127,-0.4267,True
Behavior skills training,Observe body language,0.0946,-0.2483,0.4376,False
Behavior skills training,Participate in peer review,-0.9969,-1.4183,-0.5755,True
Behavior skills training,Peer evaluate,-2.0789,-2.4218,-1.7359,True
Behavior skills training,Performance expectations,0.2555,-0.0874,0.5985,False
Behavior skills training,Positive and corrective feedback,0.4227,0.0797,0.7657,True
Behavior skills training,Practice skill set,-0.2334,-0.5764,0.1095,False
Behavior skills training,Professional groups,-1.4132,-1.7562,-1.0703,True
Behavior skills training,Return communications within 48,0.511,0.1681,0.854,True
Behavior skills training,Review literature,-0.0189,-0.3619,0.324,False
Behavior skills training,Review supervision contract,0.3943,0.0514,0.7373,True
Behavior skills training,Schedule contacts,0.0536,-0.2893,0.3966,False
Behavior skills training,Schedule direct observations,0.3249,-0.018,0.6679,False
Behavior skills training,Schedule standing appointments,-0.0915,-0.4345,0.2515,False
Behavior skills training,Seek mentorship,-0.6404,-0.9833,-0.2974,True
Behavior skills training,Self-assess interpersonal skills,0.1893,-0.1537,0.5322,False
Behavior skills training,Send agenda,-1.6656,-2.0086,-1.3226,True
Behavior skills training,Supervision fidelity,-1.5521,-1.895,-1.2091,True
Behavior skills training,Supervision schedule,-0.9937,-1.3367,-0.6507,True
Behavior skills training,Supervision termination clause,0.5678,0.2249,0.9108,True
Behavior skills training,Supervisory study groups,-1.9401,-2.283,-1.5971,True
Behavior skills training,Take baseline,-1.1009,-1.4439,-0.758,True
Behavior skills training,Training and supervision,0.206,-0.3577,0.7697,False
Behavior skills training,Written evaluation system,-0.6246,-0.9676,-0.2816,True
Behavior skills training,Written supervision contract,0.5994,0.2564,0.9423,True
Confirm required skill set,Continue relationship,0.1514,-0.1916,0.4944,False
Confirm required skill set,Create group activities,-1.4606,-1.8035,-1.1176,True
Confirm required skill set,Credentialing requirements,0.5183,-0.0454,1.082,False
Confirm required skill set,Detect barriers to supervision,0.47,0.1271,0.813,True
Confirm required skill set,Discourage distractions,0.6215,0.2785,0.9644,True
Confirm required skill set,Discuss how to give feedback,0.5962,0.2532,0.9392,True
Confirm required skill set,Document feedback,-0.0726,-0.4155,0.2704,False
Confirm required skill set,Evaluate client performance,-0.6782,-1.0212,-0.3353,True
Confirm required skill set,Evaluate supervisee performance,-0.5457,-0.8887,-0.2028,True
Confirm required skill set,Group supervision,-1.4353,-1.7783,-1.0924,True
Confirm required skill set,Immediate feedback,0.3533,0.0103,0.6963,True
Confirm required skill set,Include ethics,0.7508,0.4078,1.0938,True
Confirm required skill set,Instructions and demonstration,0.612,0.269,0.955,True
Confirm required skill set,Literature for new competency,0.1041,-0.2389,0.4471,False
Confirm required skill set,Maintain positive rapport,0.9432,0.6002,1.2862,True
Confirm required skill set,Meeting notes,-0.388,-0.731,-0.045,True
Confirm required skill set,Observe body language,0.4763,0.1334,0.8193,True
Confirm required skill set,Participate in peer review,-0.6152,-1.0366,-0.1938,True
Confirm required skill set,Peer evaluate,-1.6972,-2.0401,-1.3542,True
Confirm required skill set,Performance expectations,0.6372,0.2943,0.9802,True
Confirm required skill set,Positive and corrective feedback,0.8044,0.4614,1.1474,True
Confirm required skill set,Practice skill set,0.1483,-0.1947,0.4912,False
Confirm required skill set,Professional groups,-1.0315,-1.3745,-0.6886,True
Confirm required skill set,Return communications within 48,0.8927,0.5498,1.2357,True
Confirm required skill set,Review literature,0.3628,0.0198,0.7057,True
Confirm required skill set,Review supervision contract,0.776,0.4331,1.119,True
Confirm required skill set,Schedule contacts,0.4353,0.0924,0.7783,True
Confirm required skill set,Schedule direct observations,0.7066,0.3637,1.0496,True
Confirm required skill set,Schedule standing appointments,0.2902,-0.0527,0.6332,False
Confirm required skill set,Seek mentorship,-0.2587,-0.6016,0.0843,False
Confirm required skill set,Self-assess interpersonal skills,0.571,0.228,0.9139,True
Confirm required skill set,Send agenda,-1.2839,-1.6269,-0.9409,True
Confirm required skill set,Supervision fidelity,-1.1703,-1.5133,-0.8274,True
Confirm required skill set,Supervision schedule,-0.612,-0.955,-0.269,True
Confirm required skill set,Supervision termination clause,0.9495,0.6066,1.2925,True
Confirm required skill set,Supervisory study groups,-1.5584,-1.9013,-1.2154,True
Confirm required skill set,Take baseline,-0.7192,-1.0622,-0.3763,True
Confirm required skill set,Training and supervision,0.5877,0.024,1.1514,True
Confirm required skill set,Written evaluation system,-0.2429,-0.5859,0.1001,False
Confirm required skill set,Written supervision contract,0.9811,0.6381,1.324,True
Continue relationship,Create group activities,-1.612,-1.955,-1.269,True
Continue relationship,Credentialing requirements,0.3669,-0.1969,0.9306,False
Continue relationship,Detect barriers to supervision,0.3186,-0.0244,0.6616,False
Continue relationship,Discourage distractions,0.47,0.1271,0.813,True
Continue relationship,Discuss how to give feedback,0.4448,0.1018,0.7878,True
Continue relationship,Document feedback,-0.224,-0.5669,0.119,False
Continue relationship,Evaluate client performance,-0.8297,-1.1726,-0.4867,True
Continue relationship,Evaluate supervisee performance,-0.6972,-1.0401,-0.3542,True
Continue relationship,Group supervision,-1.5868,-1.9297,-1.2438,True
Continue relationship,Immediate feedback,0.2019,-0.1411,0.5449,False
Continue relationship,Include ethics,0.5994,0.2564,0.9423,True
Continue relationship,Instructions and demonstration,0.4606,0.1176,0.8035,True
Continue relationship,Literature for new competency,-0.0473,-0.3903,0.2957,False
Continue relationship,Maintain positive rapport,0.7918,0.4488,1.1348,True
Continue relationship,Meeting notes,-0.5394,-0.8824,-0.1965,True
Continue relationship,Observe body language,0.3249,-0.018,0.6679,False
Continue relationship,Participate in peer review,-0.7666,-1.188,-0.3453,True
Continue relationship,Peer evaluate,-1.8486,-2.1916,-1.5056,True
Continue relationship,Performance expectations,0.4858,0.1428,0.8288,True
Continue relationship,Positive and corrective feedback,0.653,0.31,0.996,True
Continue relationship,Practice skill set,-0.0032,-0.3461,0.3398,False
Continue relationship,Professional groups,-1.183,-1.5259,-0.84,True
Continue relationship,Return communications within 48,0.7413,0.3984,1.0843,True
Continue relationship,Review literature,0.2114,-0.1316,0.5543,False
Continue relationship,Review supervision contract,0.6246,0.2816,0.9676,True
Continue relationship,Schedule contacts,0.2839,-0.0591,0.6269,False
Continue relationship,Schedule direct observations,0.5552,0.2122,0.8982,True
Continue relationship,Schedule standing appointments,0.1388,-0.2042,0.4818,False
Continue relationship,Seek mentorship,-0.4101,-0.7531,-0.0671,True
Continue relationship,Self-assess interpersonal skills,0.4196,0.0766,0.7625,True
Continue relationship,Send agenda,-1.4353,-1.7783,-1.0924,True
Continue relationship,Supervision fidelity,-1.3218,-1.6647,-0.9788,True
Continue relationship,Supervision schedule,-0.7634,-1.1064,-0.4204,True
Continue relationship,Supervision termination clause,0.7981,0.4551,1.1411,True
Continue relationship,Supervisory study groups,-1.7098,-2.0527,-1.3668,True
Continue relationship,Take baseline,-0.8707,-1.2136,-0.5277,True
Continue relationship,Training and supervision,0.4363,-0.1274,1.0,False
Continue relationship,Written evaluation system,-0.3943,-0.7373,-0.0514,True
Continue relationship,Written supervision contract,0.8297,0.4867,1.1726,True
Create group activities,Credentialing requirements,1.9788,1.4151,2.5425,True
Create group activities,Detect barriers to supervision,1.9306,1.5876,2.2736,True
Create group activities,Discourage distractions,2.082,1.739,2.425,True
Create group activities,Discuss how to give feedback,2.0568,1.7138,2.3998,True
Create group activities,Document feedback,1.388,1.045,1.731,True
Create group activities,Evaluate client performance,0.7823,0.4394,1.1253,True
Create group activities,Evaluate supervisee performance,0.9148,0.5719,1.2578,True
Create group activities,Group supervision,0.0252,-0.3177,0.3682,False
Create group activities,Immediate feedback,1.8139,1.4709,2.1569,True
Create group activities,Include ethics,2.2114,1.8684,2.5543,True
Create group activities,Instructions and demonstration,2.0726,1.7296,2.4155,True
Create group activities,Literature for new competency,1.5647,1.2217,1.9076,True
Create group activities,Maintain positive rapport,2.4038,2.0608,2.7468,True
Create group activities,Meeting notes,1.0726,0.7296,1.4155,True
Create group activities,Observe body language,1.9369,1.5939,2.2799,True
Create group activities,Participate in peer review,0.8453,0.424,1.2667,True
Create group activities,Peer evaluate,-0.2366,-0.5796,0.1064,False
Create group activities,Performance expectations,2.0978,1.7548,2.4408,True
Create group activities,Positive and corrective feedback,2.265,1.922,2.608,True
Create group activities,Practice skill set,1.6088,1.2659,1.9518,True
Create group activities,Professional groups,0.429,0.0861,0.772,True
Create group activities,Return communications within 48,2.3533,2.0103,2.6963,True
Create group activities,Review literature,1.8233,1.4804,2.1663,True
Create group activities,Review supervision contract,2.2366,1.8936,2.5796,True
Create group activities,Schedule contacts,1.8959,1.5529,2.2389,True
Create group activities,Schedule direct observations,2.1672,1.8242,2.5102,True
Create group activities,Schedule standing appointments,1.7508,1.4078,2.0938,True
Create group activities,Seek mentorship,1.2019,0.8589,1.5449,True
Create group activities,Self-assess interpersonal skills,2.0315,1.6886,2.3745,True
Create group activities,Send agenda,0.1767,-0.1663,0.5196,False
Create group activities,Supervision fidelity,0.2902,-0.0527,0.6332,False
Create group activities,Supervision schedule,0.8486,0.5056,1.1916,True
Create group activities,Supervision termination clause,2.4101,2.0671,2.7531,True
Create group activities,Supervisory study groups,-0.0978,-0.4408,0.2452,False
Create group activities,Take baseline,0.7413,0.3984,1.0843,True
Create group activities,Training and supervision,2.0483,1.4846,2.612,True
Create group activities,Written evaluation system,1.2177,0.8747,1.5606,True
Create group activities,Written supervision contract,2.4416,2.0987,2.7846,True
Credentialing requirements,Detect barriers to supervision,-0.0482,-0.6119,0.5155,False
Credentialing requirements,Discourage distractions,0.1032,-0.4605,0.6669,False
Credentialing requirements,Discuss how to give feedback,0.0779,-0.4858,0.6416,False
Credentialing requirements,Document feedback,-0.5908,-1.1545,-0.0271,True
Credentialing requirements,Evaluate client performance,-1.1965,-1.7602,-0.6328,True
Credentialing requirements,Evaluate supervisee performance,-1.064,-1.6277,-0.5003,True
Credentialing requirements,Group supervision,-1.9536,-2.5173,-1.3899,True
Credentialing requirements,Immediate feedback,-0.165,-0.7287,0.3987,False
Credentialing requirements,Include ethics,0.2325,-0.3312,0.7962,False
Credentialing requirements,Instructions and demonstration,0.0937,-0.47,0.6574,False
Credentialing requirements,Literature for new competency,-0.4142,-0.9779,0.1495,False
Credentialing requirements,Maintain positive rapport,0.4249,-0.1388,0.9887,False
Credentialing requirements,Meeting notes,-0.9063,-1.47,-0.3426,True
Credentialing requirements,Observe body language,-0.0419,-0.6056,0.5218,False
Credentialing requirements,Participate in peer review,-1.1335,-1.7481,-0.5189,True
Credentialing requirements,Peer evaluate,-2.2154,-2.7791,-1.6517,True
Credentialing requirements,Performance expectations,0.119,-0.4447,0.6827,False
Credentialing requirements,Positive and corrective feedback,0.2861,-0.2776,0.8498,False
Credentialing requirements,Practice skill set,-0.37,-0.9337,0.1937,False
Credentialing requirements,Professional groups,-1.5498,-2.1135,-0.9861,True
Credentialing requirements,Return communications within 48,0.3745,-0.1892,0.9382,False
Credentialing requirements,Review literature,-0.1555,-0.7192,0.4082,False
Credentialing requirements,Review supervision contract,0.2578,-0.3059,0.8215,False
Credentialing requirements,Schedule contacts,-0.0829,-0.6466,0.4808,False
Credentialing requirements,Schedule direct observations,0.1884,-0.3753,0.7521,False
Credentialing requirements,Schedule standing appointments,-0.228,-0.7918,0.3357,False
Credentialing requirements,Seek mentorship,-0.7769,-1.3406,-0.2132,True
Credentialing requirements,Self-assess interpersonal skills,0.0527,-0.511,0.6164,False
Credentialing requirements,Send agenda,-1.8022,-2.3659,-1.2385,True
Credentialing requirements,Supervision fidelity,-1.6886,-2.2523,-1.1249,True
Credentialing requirements,Supervision schedule,-1.1303,-1.694,-0.5666,True
Credentialing requirements,Supervision termination clause,0.4313,-0.1324,0.995,False
Credentialing requirements,Supervisory study groups,-2.0766,-2.6403,-1.5129,True
Credentialing requirements,Take baseline,-1.2375,-1.8012,-0.6738,True
Credentialing requirements,Training and supervision,0.0694,-0.6502,0.7891,False
Credentialing requirements,Written evaluation system,-0.7612,-1.3249,-0.1975,True
Credentialing requirements,Written supervision contract,0.4628,-0.1009,1.0265,False
Detect barriers to supervision,Discourage distractions,0.1514,-0.1916,0.4944,False
Detect barriers to supervision,Discuss how to give feedback,0.1262,-0.2168,0.4692,False
Detect barriers to supervision,Document feedback,-0.5426,-0.8856,-0.1996,True
Detect barriers to supervision,Evaluate client performance,-1.1483,-1.4912,-0.8053,True
Detect barriers to supervision,Evaluate supervisee performance,-1.0158,-1.3587,-0.6728,True
Detect barriers to supervision,Group supervision,-1.9054,-2.2483,-1.5624,True
Detect barriers to supervision,Immediate feedback,-0.1167,-0.4597,0.2263,False
Detect barriers to supervision,Include ethics,0.2808,-0.0622,0.6237,False
Detect barriers to supervision,Instructions and demonstration,0.142,-0.201,0.4849,False
Detect barriers to supervision,Literature for new competency,-0.3659,-0.7089,-0.023,True
Detect barriers to supervision,Maintain positive rapport,0.4732,0.1302,0.8162,True
Detect barriers to supervision,Meeting notes,-0.858,-1.201,-0.5151,True
Detect barriers to supervision,Observe body language,0.0063,-0.3367,0.3493,False
Detect barriers to supervision,Participate in peer review,-1.0853,-1.5066,-0.6639,True
Detect barriers to supervision,Peer evaluate,-2.1672,-2.5102,-1.8242,True
Detect barriers to supervision,Performance expectations,0.1672,-0.1758,0.5102,False
Detect barriers to supervision,Positive and corrective feedback,0.3344,-0.0086,0.6774,False
Detect barriers to supervision,Practice skill set,-0.3218,-0.6647,0.0212,False
Detect barriers to supervision,Professional groups,-1.5016,-1.8445,-1.1586,True
Detect barriers to supervision,Return communications within 48,0.4227,0.0797,0.7657,True
Detect barriers to supervision,Review literature,-0.1073,-0.4502,0.2357,False
Detect barriers to supervision,Review supervision contract,0.306,-0.037,0.649,False
Detect barriers to supervision,Schedule contacts,-0.0347,-0.3777,0.3083,False
Detect barriers to supervision,Schedule direct observations,0.2366,-0.1064,0.5796,False
Detect barriers to supervision,Schedule standing appointments,-0.1798,-0.5228,0.1632,False
Detect barriers to supervision,Seek mentorship,-0.7287,-1.0717,-0.3857,True
Detect barriers to supervision,Self-assess interpersonal skills,0.1009,-0.242,0.4439,False
Detect barriers to supervision,Send agenda,-1.7539,-2.0969,-1.411,True
Detect barriers to supervision,Supervision fidelity,-1.6404,-1.9833,-1.2974,True
Detect barriers to supervision,Supervision schedule,-1.082,-1.425,-0.739,True
Detect barriers to supervision,Supervision termination clause,0.4795,0.1365,0.8225,True
Detect barriers to supervision,Supervisory study groups,-2.0284,-2.3714,-1.6854,True
Detect barriers to supervision,Take baseline,-1.1893,-1.5322,-0.8463,True
Detect barriers to supervision,Training and supervision,0.1177,-0.446,0.6814,False
Detect barriers to supervision,Written evaluation system,-0.7129,-1.0559,-0.37,True
Detect barriers to supervision,Written supervision contract,0.511,0.1681,0.854,True
